ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-32.1	-17.3	-2.5	-24.7	-27.1	-0.1	-17.3	-34.5	
-37.0	-14.8	-44.4	-27.1	-51.7	2.4	-27.1	-17.3	
-44.4	-22.2	-46.8	-12.4	-51.7	-7.5	-19.8	-37.0	
-32.1	-22.2	-34.5	-34.5	-37.0	-32.1	-19.8	-32.1	
-39.4	-22.2	-32.1	-32.1	-64.0	-24.7	-24.7	-22.2	
-32.1	-24.7	-51.7	-24.7	-108.3	-27.1	-37.0	-34.5	
-24.7	-14.8	-83.7	-17.3	-78.8	-41.9	-54.2	-37.0	
-19.8	-5.0	-54.2	-37.0	-2.5	-41.9	-27.1	-14.8	
-17.3	-17.3	-19.8	-22.2	-2.5	-22.2	-34.5	-17.3	
-12.4	-12.4	-27.1	-9.9	-32.1	-14.8	-24.7	-7.5	
-22.2	-32.1	-27.1	-2.5	-37.0	-24.7	-7.5	-24.7	
-12.4	-32.1	-41.9	-9.9	-19.8	-19.8	4.8	-37.0	
9.8	-17.3	-17.3	-14.8	14.7	-14.8	17.1	-51.7	
-2.5	-14.8	-0.1	-22.2	4.8	-7.5	14.7	-19.8	
2.4	-34.5	4.8	-2.5	-34.5	-2.5	17.1	-19.8	
-5.0	-19.8	44.2	7.3	-5.0	12.2	31.9	19.6	
-9.9	-24.7	41.7	9.8	54.0	12.2	27.0	41.7	
-22.2	-27.1	44.2	-22.2	73.7	17.1	24.5	7.3	
-32.1	-17.3	44.2	-32.1	63.9	12.2	17.1	19.6	
-27.1	-29.6	-7.5	-37.0	-5.0	19.6	14.7	-5.0	
-29.6	-12.4	-12.4	-19.8	-27.1	2.4	2.4	4.8	
-32.1	-2.5	-17.3	-29.6	-5.0	-0.1	-5.0	-9.9	
-32.1	7.3	-17.3	-46.8	-2.5	-9.9	-5.0	-14.8	
-34.5	2.4	-34.5	-37.0	-39.4	-9.9	-32.1	-54.2	
-34.5	-12.4	-46.8	-27.1	-29.6	-12.4	-49.3	-41.9	
-24.7	-7.5	-41.9	-7.5	71.3	-29.6	-56.7	-113.2	
-29.6	-9.9	-46.8	4.8	71.3	-24.7	-61.6	-56.7	
-22.2	4.8	-78.8	-9.9	4.8	-29.6	-49.3	-46.8	
-12.4	-2.5	-66.5	-9.9	-39.4	-41.9	-39.4	4.8	
