ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-27.1	-34.5	-100.9	-29.6	-7.5	-41.9	-12.4	-54.2	
-27.1	-32.1	-100.9	-93.6	-0.1	-39.4	-32.1	-49.3	
-22.2	-27.1	-88.6	-71.4	12.2	-46.8	-27.1	-49.3	
-22.2	-24.7	-73.9	-17.3	19.6	-34.5	-22.2	-22.2	
-9.9	-5.0	-51.7	-22.2	-12.4	-34.5	-17.3	-2.5	
-5.0	27.0	-22.2	-22.2	-34.5	-27.1	-14.8	-83.7	
-0.1	12.2	-2.5	-24.7	-14.8	-17.3	-12.4	-113.2	
-9.9	-37.0	19.6	-17.3	-0.1	-0.1	-22.2	-64.0	
-9.9	-66.5	41.7	2.4	19.6	2.4	4.8	-96.0	
-14.8	-39.4	49.1	-14.8	14.7	17.1	-0.1	-120.6	
-29.6	-78.8	41.7	27.0	-7.5	7.3	-9.9	9.8	
-17.3	-103.4	39.3	-22.2	-27.1	9.8	-22.2	73.7	
-14.8	-27.1	29.4	-78.8	-5.0	14.7	-66.5	56.5	
-27.1	4.8	41.7	-54.2	-5.0	24.5	-76.3	-14.8	
-34.5	14.7	12.2	-12.4	-5.0	4.8	-61.6	-51.7	
-32.1	4.8	-0.1	-17.3	4.8	4.8	-27.1	-51.7	
-39.4	-0.1	-17.3	-24.7	7.3	4.8	-7.5	-54.2	
-22.2	-7.5	-41.9	-29.6	7.3	-17.3	29.4	-14.8	
-27.1	-12.4	-54.2	-9.9	-7.5	-12.4	115.5	54.0	
-24.7	-12.4	-64.0	19.6	-41.9	-19.8	68.8	83.6	
-22.2	-12.4	-56.7	39.3	-44.4	-17.3	-19.8	86.0	
-17.3	-34.5	-76.3	27.0	-32.1	-32.1	-41.9	115.5	
-17.3	-27.1	-71.4	12.2	-24.7	-41.9	-34.5	76.2	
-12.4	-29.6	-59.1	-83.7	-9.9	-37.0	-37.0	-0.1	
-22.2	-34.5	-59.1	-64.0	-0.1	-22.2	-32.1	-172.3	
-19.8	-24.7	-44.4	-24.7	12.2	-29.6	-32.1	-177.2	
-17.3	-24.7	-22.2	-34.5	2.4	-17.3	-7.5	-96.0	
-19.8	-24.7	-0.1	-34.5	-5.0	2.4	63.9	-12.4	
-9.9	-7.5	34.4	-5.0	-2.5	4.8	41.7	14.7	
-12.4	-5.0	39.3	-2.5	-12.4	9.8	7.3	54.0	
-24.7	-17.3	56.5	-14.8	-22.2	7.3	19.6	63.9	
-19.8	-44.4	59.0	2.4	-5.0	14.7	-0.1	98.3	
-34.5	-37.0	56.5	7.3	7.3	12.2	-5.0	61.4	
-29.6	-29.6	49.1	-0.1	4.8	22.1	-5.0	17.1	
-24.7	-24.7	27.0	7.3	14.7	22.1	-7.5	-14.8	
-19.8	-24.7	14.7	24.5	2.4	-2.5	-9.9	17.1	
-32.1	-22.2	-9.9	29.4	-0.1	-0.1	-19.8	22.1	
-37.0	-46.8	-46.8	12.2	-24.7	-5.0	-32.1	-96.0	
-44.4	-66.5	-64.0	-22.2	-22.2	-17.3	-19.8	-108.3	
-29.6	-88.6	-83.7	-115.7	-5.0	-27.1	-39.4	-76.3	
-22.2	-91.1	-66.5	-49.3	7.3	-24.7	-34.5	-54.2	
-29.6	-81.3	-93.6	-32.1	-22.2	-27.1	-32.1	-59.1	
-19.8	-61.6	-91.1	-34.5	-41.9	-44.4	-32.1	-120.6	
-24.7	-27.1	-78.8	-54.2	-37.0	-27.1	-19.8	-98.5	
-32.1	44.2	-59.1	-5.0	-44.4	-27.1	-22.2	24.5	
-19.8	4.8	-29.6	-27.1	-37.0	-34.5	-24.7	132.8	
-17.3	31.9	-7.5	-27.1	-9.9	-19.8	-5.0	169.7	
-24.7	68.8	17.1	-17.3	-12.4	-7.5	4.8	110.6	
-29.6	68.8	44.2	-2.5	-9.9	4.8	9.8	12.2	
-19.8	41.7	56.5	-9.9	9.8	-0.1	9.8	51.6	
-27.1	12.2	63.9	-9.9	-0.1	7.3	12.2	63.9	
-39.4	-2.5	39.3	-29.6	-9.9	12.2	2.4	-0.1	
-41.9	4.8	41.7	-29.6	12.2	12.2	-5.0	-19.8	
-32.1	-0.1	46.7	-17.3	12.2	12.2	7.3	4.8	
-41.9	-9.9	41.7	-0.1	7.3	19.6	-14.8	2.4	
-29.6	-19.8	9.8	-5.0	-9.9	-0.1	-22.2	-24.7	
-32.1	-19.8	-37.0	-17.3	-19.8	-7.5	-27.1	-12.4	
-37.0	-24.7	-49.3	-22.2	-9.9	-17.3	-22.2	-5.0	
-37.0	-27.1	-44.4	-22.2	-2.5	-22.2	-24.7	24.5	
-34.5	-17.3	-59.1	-14.8	-19.8	-46.8	-29.6	9.8	
-44.4	-19.8	-93.6	-14.8	-27.1	-34.5	-34.5	-34.5	
-29.6	-17.3	-78.8	-24.7	-17.3	-51.7	-24.7	-34.5	
-14.8	-27.1	-56.7	-19.8	-5.0	-46.8	-27.1	-37.0	
-14.8	-44.4	-46.8	-7.5	2.4	-46.8	-32.1	-88.6	
-22.2	-29.6	-59.1	-24.7	2.4	-34.5	-19.8	-69.0	
-24.7	-9.9	-51.7	-7.5	17.1	-34.5	-9.9	-46.8	
-17.3	-12.4	-37.0	-14.8	9.8	-19.8	-5.0	-96.0	
-9.9	-32.1	12.2	-29.6	-9.9	-12.4	2.4	-91.1	
2.4	-29.6	41.7	-2.5	-7.5	-17.3	9.8	-59.1	
7.3	-32.1	49.1	31.9	17.1	2.4	9.8	-69.0	
-14.8	-39.4	59.0	-32.1	4.8	-0.1	7.3	-5.0	
-29.6	-24.7	44.2	-49.3	-19.8	-2.5	9.8	7.3	
-19.8	-17.3	41.7	-66.5	-12.4	14.7	12.2	14.7	
-19.8	-19.8	36.8	-41.9	-2.5	7.3	2.4	-51.7	
-17.3	-19.8	12.2	14.7	4.8	9.8	-5.0	-123.1	
-17.3	-5.0	4.8	49.1	-27.1	-0.1	-9.9	-73.9	
-24.7	-12.4	-14.8	36.8	-34.5	-2.5	-22.2	54.0	
-27.1	-24.7	-44.4	31.9	-17.3	-17.3	-12.4	95.9	
-22.2	-24.7	-59.1	46.7	-9.9	-24.7	-19.8	36.8	
-22.2	-27.1	-64.0	17.1	-14.8	-32.1	-32.1	-22.2	
-12.4	-17.3	-83.7	-2.5	-22.2	-24.7	-49.3	-51.7	
-22.2	-32.1	-83.7	-115.7	7.3	-34.5	-46.8	19.6	
-9.9	-27.1	-69.0	-177.2	14.7	-41.9	-34.5	-76.3	
-7.5	-7.5	-69.0	-2.5	4.8	-39.4	-34.5	-118.2	
-2.5	-14.8	-61.6	88.5	-41.9	-24.7	-29.6	-145.2	
-0.1	-29.6	-29.6	61.4	-32.1	-32.1	-19.8	-17.3	
2.4	-14.8	-5.0	4.8	-19.8	-14.8	2.4	7.3	
